"id","airport_ref","airport_ident","type","description","frequency_mhz"
70518,6528,"00CA","CTAF","CTAF",122.9
307581,6589,"01FL","ARCAL",,122.9
75239,6589,"01FL","CTAF","CEDAR KNOLL TRAFFIC",122.8
60191,6756,"04CA","CTAF","CTAF",122.9
59287,6779,"04MS","UNIC","UNICOM",122.8
60682,6784,"04NV","UNIC","UNICOM",123
60091,6812,"05CL","CTAF","CTAF",122.9
63835,6853,"05UT","UNIC","UNICOM",122.8
70676,6868,"06FA","APP","PALM BEACH APP",124.6
70677,6868,"06FA","GND","GND",121.65
70678,6868,"06FA","TWR","TWR",120.4
65868,6887,"06MO","CTAF","CTAF",122.9
71176,6924,"07FA","UNIC","UNICOM",122.7
66637,6943,"07MT","CNTR","SALT LAKE CITY CNTR",126.85
69383,6954,"07TE","CNTR","HOUSTON CNTR",126.625
61673,7008,"08TE","UNIC","UNICOM",122.8
61013,7019,"09CL","CTAF","CTAF",122.9
59566,7021,"09FA","UNIC","UNICOM",122.8
68176,7054,"09TS","CNTR","ALBUQUERQUE CNTR",132.65
59735,7094,"0AZ2","UNIC","UNICOM",122.95
328741,7102,"0C2","CTAF",,122.9
62825,7116,"0CA9","CTAF","CTAF",122.9
59296,7213,"0ID2","ARTC","SALT LAKE CITY CNTR",128.35
60367,7542,"0TE4","UNIC","CTAF/UNICOM",122.8
59580,7543,"0TE5","CNTR","HOUSTON CNTR",126.625
59437,7545,"0TE7","UNIC","UNICOM",122.8
67677,7569,"0TX1","UNIC","UNICOM",123.05
59357,7712,"11II","CNTR","INDIANAPOLIS CNTR",134.85
59358,7712,"11II","CTAF","CTAF",126.2
59360,7712,"11II","MISC","RNG CON",38.9
59359,7712,"11II","MISC","ANG RNG CON",138.25
71354,7781,"12NC","APP","CHERRY POINT APP",119.75
69316,7789,"12OK","UNIC","UNICOM",123
70478,7838,"13NC","APP","CHERRY POINT APP",119.35
333203,7838,"13NC","CTAF",,322.1
70367,7898,"14NC","A/D","CHERRY POINT APP",119.35
66604,7917,"14TS","CNTR","HOUSTON CNTR",126.625
59174,7928,"15AR","UNIC","RDO CTL",122.725
68311,7934,"15FL","UNIC","UNICOM",123
60025,8028,"16X","CNTR","FORT WORTH CNTR",127.45
70821,8082,"18AZ","UNIC","UNICOM",122.975
67241,8117,"18TA","CNTR","HOUSTON CNTR",126.625
62339,8118,"18TE","UNIC","UNICOM",122.8
61636,8205,"1AZ0","UNIC","UNICOM",122.725
67423,8222,"1CA1","CTAF","CTAF",122.9
59235,8233,"1CD2","APP","DENVER APP",119.3
59171,8297,"1GA0","UNIC","UNICOM",122.725
350929,8402,"1L4","CTAF","Kidwell traffic",122.9
70225,8486,"1MS8","APP","MERIDIAN APP",31.48
298625,8732,"1WA6","CTAF","Fall City Traffic",122.9
59128,8769,"1XS8","CNTR","HOUSTON CNTR",126.625
70996,8787,"20GA","MULT","MULT",122.9
63036,8924,"22XS","A/G","TWR",143.35
63037,8924,"22XS","ATIS","ATIS",118.8
63038,8924,"22XS","INFO","RNG CTL",30.45
63039,8924,"22XS","MISC","FORT HOOD FLT FLW",38.75
63040,8924,"22XS","OPS","GRAY OPS",38.7
63041,8924,"22XS","PMSV","PMSV GRAY METRO",41.2
63042,8924,"22XS","TWR","GRAY TWR",120.75
60377,8982,"23XS","A/G","LONGHORN AUX TWR",143.35
60378,8982,"23XS","ATIS","ATIS",118.8
60379,8982,"23XS","INFO","RNG CTL",30.45
60380,8982,"23XS","MISC","FORT HOOD FLT FLW",38.75
60381,8982,"23XS","OPS","GRAY OPS",38.7
60382,8982,"23XS","PMSV","PMSV GRAY METRO",41.2
60383,8982,"23XS","TWR","GRAY TWR",120.75
67720,8990,"24CL","CTAF","CTAF",122.9
60694,9068,"25NC","MULT","MULTICOM",122.9
60360,9078,"25TA","CNTR","HOUSTON CNTR",126.625